chapter_key,tractate_en,chapter_num,seder,skip_reason
arakhin_1,arakhin,1,Kodashim,no_markers_in_docx
arakhin_2,arakhin,2,Kodashim,unmatched
arakhin_3,arakhin,3,Kodashim,no_markers_in_docx
arakhin_4,arakhin,4,Kodashim,no_markers_in_docx
arakhin_5,arakhin,5,Kodashim,no_markers_in_docx
arakhin_6,arakhin,6,Kodashim,no_markers_in_docx
arakhin_7,arakhin,7,Kodashim,no_markers_in_docx
arakhin_8,arakhin,8,Kodashim,no_markers_in_docx
arakhin_9,arakhin,9,Kodashim,no_markers_in_docx
avodazara_1,avodazara,1,Nezikin,no_markers_in_docx
avodazara_4,avodazara,4,Nezikin,unmatched
avot_2,avot,2,Nezikin,shape_mismatch
avot_3,avot,3,Nezikin,no_markers_in_docx
avot_4,avot,4,Nezikin,no_markers_in_docx
avot_5,avot,5,Nezikin,no_markers_in_docx
bekhorot_1,bekhorot,1,Kodashim,no_markers_in_docx
bekhorot_2,bekhorot,2,Kodashim,no_markers_in_docx
bekhorot_3,bekhorot,3,Kodashim,unmatched
bekhorot_4,bekhorot,4,Kodashim,unmatched
bekhorot_5,bekhorot,5,Kodashim,no_markers_in_docx
bekhorot_6,bekhorot,6,Kodashim,no_markers_in_docx
bekhorot_7,bekhorot,7,Kodashim,no_markers_in_docx
bekhorot_8,bekhorot,8,Kodashim,unmatched
bekhorot_9,bekhorot,9,Kodashim,unmatched
chullin_1,chullin,1,Kodashim,unmatched
chullin_10,chullin,10,Kodashim,no_markers_in_docx
chullin_11,chullin,11,Kodashim,no_markers_in_docx
chullin_12,chullin,12,Kodashim,no_markers_in_docx
chullin_2,chullin,2,Kodashim,no_markers_in_docx
chullin_3,chullin,3,Kodashim,unmatched
chullin_4,chullin,4,Kodashim,unmatched
chullin_5,chullin,5,Kodashim,no_markers_in_docx
chullin_6,chullin,6,Kodashim,no_markers_in_docx
chullin_7,chullin,7,Kodashim,no_markers_in_docx
chullin_8,chullin,8,Kodashim,no_markers_in_docx
chullin_9,chullin,9,Kodashim,unmatched
eduyot_2,eduyot,2,Nezikin,no_markers_in_docx
eduyot_4,eduyot,4,Nezikin,unmatched
eduyot_6,eduyot,6,Nezikin,no_markers_in_docx
eduyot_7,eduyot,7,Nezikin,shape_mismatch
eduyot_8,eduyot,8,Nezikin,unmatched
kelim_1,kelim,1,Toharot,unmatched
kelim_10,kelim,10,Toharot,no_markers_in_docx
kelim_11,kelim,11,Toharot,no_markers_in_docx
kelim_12,kelim,12,Toharot,no_markers_in_docx
kelim_13,kelim,13,Toharot,no_markers_in_docx
kelim_14,kelim,14,Toharot,no_markers_in_docx
kelim_15,kelim,15,Toharot,no_markers_in_docx
kelim_16,kelim,16,Toharot,no_markers_in_docx
kelim_17,kelim,17,Toharot,unmatched
