path,live_status,last_modified,inbound_links,title_first_50,superseded_by,recommendation,notes
Articles/TenWrd1.html,308,2026-04-12,2,The Decalogue,,migrate,
General/Contact.htm,200,2026-04-12,55,HomeTorahMishnahContactעברית,,keep,
General/Leviathan.htm,200,2026-04-12,0,The Frontispiece of Hobbes’ Leviathan,,verify,
General/Nonlinear Texts.htm,200,2026-04-12,0,Nonlinear Texts,,verify,
General/The Torah and Mishnah are Visual texts.htm,200,2026-04-12,0,The Torah and the Mishnah are Visual texts,,verify,
Mishnah-New/English/Articles/TheArt-H.htm,200,2026-04-12,8,The Art of Writing the Oral Tradition,,keep,
Mishnah-New/Hebrew/Articles/CfrHnnia.htm,200,2025-07-02,5,אנשי כפר חנניה,,keep,
Mishnah-New/Hebrew/Articles/MAVO.htm,200,2025-07-02,19,מבוא למשנה כדרכה,,keep,
Mishnah-New/Hebrew/Articles/TheWholeStructure.htm,200,2025-07-02,7,HomeEnglishתורהמשנהContactchaver,,keep,
Mishnah-New/Hebrew/Text/Links to hamishnah cdarcah and Hebrew articles on the Mishnah.htm,200,2025-07-02,27,ששה סדרי המשנה כדרכה ומאמרים על המשנה,,keep,
Mishnah/Mesechet Bechorot.htm,200,2026-04-24,1,פרקי מסכת בכורים,,migrate,
Mishnah/Mesechet Brachot.htm,200,2026-04-24,2,פרקי מסכת ברכות,Mishnah-New/Hebrew/Text/.../Masechet Brachot/ (Perek files),retire,
Mishnah/Mesechet Chalah.htm,200,2026-04-24,1,פרקי מסכת חלה,,migrate,
Mishnah/Mesechet Damai.htm,200,2026-04-24,1,פרקי מסכת דמאי,,migrate,
Mishnah/Mesechet Kelaim.htm,200,2026-04-24,1,פרקי מסכת כלאים,,migrate,
Mishnah/Mesechet Maaser Sheni.htm,200,2026-04-24,1,פרקי מעשר שני,Mishnah-New/Hebrew/Text/.../Masechet Maaser Sheni/ (Perek files),retire,
Mishnah/Mesechet Maasrot.htm,200,2026-04-24,1,פרקי מסכת מעשרות,Mishnah-New/Hebrew/Text/.../Masechet Maasrot/ (Perek files),retire,
Mishnah/Mesechet Orlah.htm,200,2026-04-24,1,פרקי מסכת ערלה,Mishnah-New/Hebrew/Text/.../Masechet Orlah/ (Perek files),retire,
Mishnah/Mesechet Peah.htm,200,2026-04-24,1,פרקי מסכת פאה,Mishnah-New/Hebrew/Text/.../Masechet Peah/ (Perek files),retire,
Mishnah/Mesechet Shviit.htm,200,2026-04-24,2,פרקי מסכת שביעית,Mishnah-New/Hebrew/Text/.../Masechet Shviit/ (Perek files),retire,
Mishnah/Mesechet Trumote.htm,200,2026-04-24,1,פרקי מסכת תרומות,,migrate,
Torah-New/English/Articles/Leviticus The Ways of Holiness/The Ways of Holiness Chapter Five.htm,200,2026-04-24,2,The Ways of Holiness Chapter Five,,migrate,
Torah-New/English/Articles/Leviticus The Ways of Holiness/The Ways of Holiness Chapter Four.htm,200,2026-04-24,2,The Ways of Holiness Chapter Four,,migrate,
Torah-New/English/Articles/Leviticus The Ways of Holiness/The Ways of Holiness Chapter One.htm,200,2026-04-24,1,The Ways of Holiness Chapter One,,migrate,
Torah-New/English/Articles/Leviticus The Ways of Holiness/The Ways of Holiness Chapter Seven.htm,200,2026-04-24,2,The Ways of Holiness Chapter Seven,,migrate,
Torah-New/English/Articles/Leviticus The Ways of Holiness/The Ways of Holiness Chapter Six.htm,200,2026-04-24,2,The Ways of Holiness Chapter Six,,migrate,
Torah-New/English/Articles/Leviticus The Ways of Holiness/The Ways of Holiness Chapter Three.htm,200,2026-04-24,1,The Ways of Holiness Chapter Three,,migrate,
Torah-New/English/Articles/Leviticus The Ways of Holiness/The Ways of Holiness Links.htm,200,2026-04-12,6,Leviticus: The Holy Ways,,keep,
Torah-New/English/Articles/Leviticus The Ways of Holiness/TheBook.htm,200,2026-04-12,1,Leviticus: The Ways of Holiness,,migrate,
Torah-New/English/Text/Leviticus/22 Units of Leviticus.html,308,2026-04-12,0,Leviticus Divided into 22 Literary Units,,migrate,
Torah-New/English/Text/Leviticus/Leviticus Unit I.htm,200,2026-04-12,1,Leviticus: Unit I (ch. 1-3),,migrate,
Torah-New/English/Text/Leviticus/Leviticus Unit III.htm,200,2026-04-12,1,Leviticus: Unit III (ch. 6-7),,migrate,
Torah-New/English/Text/Leviticus/Leviticus Unit IV.htm,200,2026-04-12,1,Leviticus: Unit IV (Ch. 8-10),,migrate,
Torah-New/English/Text/Leviticus/Leviticus Unit V.htm,200,2026-04-12,1,Leviticus: Unit V (ch. 11),,migrate,
Torah-New/English/Text/Leviticus/Leviticus Unit VII.htm,200,2026-04-12,1,Leviticus: Unit VII (Ch.13:1-46),,migrate,
Torah-New/English/Text/Leviticus/Leviticus Unit X.htm,200,2026-04-12,1,Leviticus: Unit X (Ch. 16),,migrate,
Torah-New/English/Text/Leviticus/Leviticus Unit XII.htm,200,2026-04-12,1,Leviticus: Unit XII (Ch. 18),,migrate,
Torah-New/English/Text/Leviticus/Leviticus Unit XIII.htm,200,2026-04-12,1,Leviticus: Unit XIII (Ch. 19),,migrate,
Torah-New/English/Text/Leviticus/Leviticus Unit XIX.htm,200,2026-04-12,1,Leviticus: Unit XIX (Ch. 24),,migrate,
Torah-New/English/Text/Leviticus/Leviticus Unit XVI.htm,200,2026-04-12,1,Leviticus: Unit XVI (Ch. 22:1-25),,migrate,
Torah-New/English/Text/Leviticus/Leviticus Unit XVIII.htm,200,2026-04-12,1,Leviticus: Unit XVIII (Ch. 23),,migrate,
Torah-New/English/Text/Leviticus/Leviticus Unit XXI.htm,200,2026-04-12,1,Leviticus: Unit XXI (Ch. 26),,migrate,
Torah-New/English/Text/Leviticus/Leviticus Unit XXII.htm,200,2026-04-12,1,Leviticus: Unit XXII (Ch. 27),,migrate,
Torah-New/English/Text/Leviticus/Links to the 22 Units of Leviticus.htm,200,2026-04-12,0,Links to the 22 Units of Leviticus,,verify,
Torah-New/Hebrew/Hebrew Torah Portal.htm,200,2025-07-02,17,Untitled 1,,keep,
Torah-New/Hebrew/Text/The Five Books of the Torah.htm,200,2025-07-02,49,HomeEnglishתורהמשנהContactchaver,,keep,
torah-commentary-project/Commentaries/Deuteronomy/deuteronomy-unit-3.html,308,2026-04-12,0,Home,,retire,
torah-commentary-project/Commentaries/Deuteronomy/index.html,308,2026-04-12,0,Untitled 1,,retire,"inbound_links reset: generic filename ""index.html"" produces false-positive matches"
torah-commentary-project/Commentaries/Deuteronomy/test.html,308,2026-04-12,0,Untitled 1,,retire,
torah-commentary-project/Commentaries/Genesis/Units/genesis-unit-2.html,308,2026-04-12,3,Untitled 1,,retire,
torah-commentary-project/Commentaries/index.html,308,2026-04-12,0,Untitled 1,,retire,"inbound_links reset: generic filename ""index.html"" produces false-positive matches"
torah-commentary-project/Commentaries/maps with commentary.html,308,2026-04-12,0,Untitled 1,,retire,
torah-commentary-project/Commentaries/test2.html,308,2026-04-12,0,Untitled 1,,retire,
torah-weave/Admin/Unit Commentary Template.html,308,2026-04-12,0,Untitled 1,,migrate,
