path,current_dwt,inferred_language,confidence,target_template,page_type,notes
404.html,Academic-Content-DWT.dwt,en,high,Academic-Content-EN,site-root,
Articles/TenWrd1.html,English.dwt,en,high,English-EN,legacy-article,
General/Catalog.htm,Academic-Content-DWT.dwt,en,high,Academic-Content-EN,legacy-article,
General/Color Codes/English Color Code.htm,Academic-Content-DWT.dwt,en,high,Academic-Content-EN,legacy-article,
General/Color Codes/Hebrew-Color-Code.html,Academic-Content-DWT.dwt,en,review,Academic-Content-EN,legacy-article,Filename references Hebrew but path doesn't put it in a Hebrew folder; verify.
General/Contact.htm,English.dwt,en,high,English-EN,legacy-article,
General/Leviathan.htm,English.dwt,en,high,English-EN,legacy-article,
General/Nonlinear Texts.htm,English.dwt,en,high,English-EN,legacy-article,
General/The Torah and Mishnah are Visual texts.htm,English.dwt,en,high,English-EN,legacy-article,
General/Woven Text.htm,Academic-Content-DWT.dwt,en,high,Academic-Content-EN,legacy-article,
General/about-page/about-page.html,Academic-Content-DWT.dwt,en,high,Academic-Content-EN,legacy-article,
Mishnah-New/English/Articles/Introduction to the Structured Mishnah.htm,Academic-Content-DWT.dwt,en,high,Academic-Content-EN,mishnah-article,
Mishnah-New/English/Articles/TheArt-H.htm,English.dwt,en,high,English-EN,mishnah-article,
Mishnah-New/English/Articles/avot-chapter-4.html,Academic-Content-DWT.dwt,en,high,Academic-Content-EN,mishnah-article,
Mishnah-New/English/Articles/five-pairs-avot-1.html,Academic-Content-DWT.dwt,en,high,Academic-Content-EN,mishnah-article,
Mishnah-New/English/Articles/index.html,Academic-Content-DWT.dwt,en,high,Academic-Content-EN,mishnah-article,
Mishnah-New/English/Articles/men-of-kfar-hananya.html,Academic-Content-DWT.dwt,en,high,Academic-Content-EN,mishnah-article,
Mishnah-New/English/Articles/the-esoteric-decalogue.html,Academic-Content-DWT.dwt,en,high,Academic-Content-EN,mishnah-article,
Mishnah-New/English/Mishnah Portal.htm,Academic-Content-DWT.dwt,en,high,Academic-Content-EN,,
Mishnah-New/English/mishnah-viewer.html,Academic-Content-DWT.dwt,en,high,Academic-Content-EN,,
Mishnah-New/Hebrew/Articles/CfrHnnia.htm,hebrew.dwt,he,high,Hebrew-HE,mishnah-article,
Mishnah-New/Hebrew/Articles/MAVO.htm,hebrew.dwt,he,high,Hebrew-HE,mishnah-article,
Mishnah-New/Hebrew/Articles/TheWholeStructure.htm,hebrew.dwt,he,high,Hebrew-HE,mishnah-article,
Mishnah-New/Hebrew/Articles/literary-structure-mishnah-eruvin.html,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-article,
Mishnah-New/Hebrew/Text/Links to hamishnah cdarcah and Hebrew articles on the Mishnah.htm,hebrew.dwt,he,high,Hebrew-HE,mishnah-text,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Arakhin/Masechet Arakhin Perek 2.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Arakhin/Masechet Arakhin Perek 3.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Arakhin/Masechet Arakhin Perek 4.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Arakhin/Masechet Arakhin Perek 5.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Arakhin/Masechet Arakhin Perek 6.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Arakhin/Masechet Arakhin Perek 7.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Arakhin/Masechet Arakhin Perek 8.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Arakhin/Masechet Arakhin Perek 9.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Arakhin/Pirkei Masechet Arakhin.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-tractate-index,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Bekhorot/Masechet Bekhorot Perek 1.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Bekhorot/Masechet Bekhorot Perek 2.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Bekhorot/Masechet Bekhorot Perek 3.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Bekhorot/Masechet Bekhorot Perek 4.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Bekhorot/Masechet Bekhorot Perek 5.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Bekhorot/Masechet Bekhorot Perek 6.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Bekhorot/Masechet Bekhorot Perek 7.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Bekhorot/Masechet Bekhorot Perek 8.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
