serial_number,book,unit_number,title,verses,verse_range,format,irregular,unique,cells,type,cell_verse_map
1,Genesis,1,Creation,Genesis 1:1-2:3,1:1-2:3,3x2,False,False,6,CL,"{""1A"": ""2:1"", ""1B"": ""2:2-2:3"", ""1Aa"": ""1:3-1:5"", ""1Ba"": ""1:14-1:19"", ""1Ab"": ""1:6-1:8"", ""1Bb"": ""1:20-1:23""}"
2,Genesis,2,Generations of Heaven and Earth,Genesis 2:4-4:26,2:4-4:26,3x2,False,False,6,,"{""1Aa"": ""2:4-2:7"", ""1Ba"": ""2:18-2:20"", ""1Ab"": ""2:8-2:17"", ""1Bb"": ""2:21-2:25"", ""2Aa"": ""3:1-3:7"", ""2Ba"": ""4:1-4:8"", ""2Ab"": ""3:8-3:24"", ""2Bb"": ""4:9-4:16"", ""2A"": ""4:17-4:24"", ""2B"": ""4:25-4:26""}"
3,Genesis,3,Book of Generations of Adam,Genesis 5:1-10:32,5:1-10:32,6x2,False,False,12,F,"{""1Aa"": ""5:1-5:5"", ""1Ba"": ""6:1-6:4"", ""1Ab"": ""5:6-5:31"", ""1Bb"": ""6:5-6:8"", ""1Ac"": ""5:32"", ""1Bc"": ""6:9-6:10"", ""1A"": ""6:11-6:22"", ""1B"": ""7:1-7:5"", ""3Aa"": ""7:17-7:23"", ""3Ba"": ""8:6-8:9"", ""3Ab"": ""7:24-8:3"", ""3Bb"": ""8:10-8:11"", ""3Ac"": ""8:4-8:5"", ""3Bc"": ""8:12-8:14"", ""5Aa"": ""8:15-8:19"", ""5Ba"": ""9:1-9:7"", ""5Ab"": ""8:20-8:22"", ""5Bb"": ""9:8-9:17"", ""5A"": ""9:18-9:29"", ""5B"": ""10:1-10:32""}"
4,Genesis,4,Tower of Babel,Genesis 11:1-11:9,11:1-11:9,2x3,False,True,6,,"{""1A"": ""11:5-11:6"", ""1B"": ""11:7"", ""1C"": ""11:8-11:9""}"
5,Genesis,5,Call of Abraham,Genesis 11:10-13:4,11:10-13:4,2x2,False,False,4,,"{""1A"": ""11:10-11:26"", ""1B"": ""11:27-11:32"", ""1Aa"": ""12:1-12:7"", ""1Ba"": ""12:10-13:2"", ""1Ab"": ""12:8-12:9"", ""1Bb"": ""13:3-13:4""}"
6,Genesis,6,Abraham and Lot,Genesis 13:5-14:24,13:5-14:24,2x2,False,False,4,,"{""1Aa"": ""14:1-14:10"", ""1Ba"": ""14:13-14:20"", ""1Ab"": ""14:11-14:12"", ""1Bb"": ""14:21-14:24""}"
7,Genesis,7,Covenant Ceremonies,Genesis 15:1-17:27,15:1-17:27,2x2,False,False,4,,"{""1A"": ""15:1-15:21"", ""1B"": ""16:1-16:16"", ""1Aa"": ""17:1-17:8"", ""1Ba"": ""17:15-17:22"", ""1Ab"": ""17:9-17:14"", ""1Bb"": ""17:23-17:27""}"
8,Genesis,8,Sodom and Lot,Genesis 18:1-19:38,18:1-19:38,2x2,False,False,4,,"{""1Aa"": ""18:1-18:8"", ""1Ba"": ""18:16-18:19"", ""1Ab"": ""18:9-18:15"", ""1Bb"": ""18:20-18:33"", ""2Aa"": ""19:1-19:3"", ""2Ba"": ""19:27-19:29"", ""2Ab"": ""19:4-19:26"", ""2Bb"": ""19:30-19:38""}"
9,Genesis,9,Abraham and Abimelech,Genesis 20:1-22:19,20:1-22:19,2x2,False,False,4,,"{""1A"": ""20:1-20:18"", ""1B"": ""21:1-21:21"", ""2Aa"": ""21:22-21:24"", ""2Ba"": ""22:1-22:10"", ""2Ab"": ""21:25-21:27"", ""2Bb"": ""22:11-22:14"", ""2Ac"": ""21:28-21:34"", ""2Bc"": ""22:15-22:19""}"
10,Genesis,10,Death of Sarah,Genesis 22:20-25:11,22:20-25:11,4x2,False,False,8,F,"{""1A"": ""22:20-22:24"", ""1B"": ""23:1-23:20"", ""2Aa"": ""24:1-24:9"", ""2Ba"": ""24:28-24:41"", ""2Ab"": ""24:10-24:27"", ""2Bb"": ""24:42-24:52"", ""3A"": ""25:1-25:6"", ""3B"": ""25:7-25:11""}"
11,Genesis,11,Birth of Jacob and Esau,Genesis 25:12-25:34,25:12-25:34,2x2,False,False,4,,"{""1A"": ""25:20-25:26"", ""1B"": ""25:27-25:34""}"
12,Genesis,12,Isaac in Gerar,Genesis 26:1-26:33,26:1-26:33,3x2,False,False,6,,"{""1A"": ""26:23-26:25"", ""1B"": ""26:26-26:33"", ""1Aa"": ""26:12-26:15"", ""1Ba"": ""26:16-26:22""}"
13,Genesis,13,Blessing Deception,Genesis 26:34-28:9,26:34-28:9,12221,True,False,8,F,"{""1"": ""27:30-27:41"", ""4A"": ""28:6-28:9"", ""4B"": ""28:6-28:9""}"
14,Genesis,14,Jacob with Laban,Genesis 28:10-32:3,28:10-32:3,12221,True,False,8,F,"{""1"": ""29:31-30:24"", ""3A"": ""30:25-30:42"", ""3B"": ""30:43-31:18"", ""4A"": ""32:2-32:3"", ""4B"": ""32:2-32:3""}"
15,Genesis,15,Jacob and Esau Reconciliation,Genesis 32:4-33:16,32:4-33:16,2x2,False,False,4,,"{""1Aa"": ""32:4-32:9"", ""1Ba"": ""32:14-32:21"", ""1Ab"": ""32:10-32:13"", ""1Bb"": ""32:22-32:24"", ""1A"": ""32:25-32:33"", ""1B"": ""33:1-33:16""}"
16,Genesis,16,Transition to Isaac's Death,Genesis 33:17-35:29,33:17-35:29,4x2,False,False,8,,"{""1A"": ""34:1-34:19"", ""1B"": ""34:20-34:31"", ""3Aa"": ""35:16-35:20"", ""3Ba"": ""35:6-35:8"", ""3Ab"": ""35:21-35:22"", ""3Bb"": ""35:27-35:29"", ""3B"": ""35:23-35:26""}"
17,Genesis,17,Joseph Sold and Elevated,Genesis 36:1-41:45,36:1-41:45,3x2,False,False,6,,"{""1Aa"": ""36:1-36:5"", ""1Ba"": ""37:2-37:4"", ""1Ab"": ""36:6-36:8"", ""1Bb"": ""37:5-37:8"", ""1Ac"": ""36:9-36:14"", ""1Bc"": ""37:9-37:11"", ""1A"": ""36:20-36:30"", ""1B"": ""37:15-37:22"", ""2Aa"": ""38:1-38:11"", ""2Ba"": ""39:1-39:6"", ""2Ab"": ""38:12-38:26"", ""2Bb"": ""39:7-39:20"", ""2Ac"": ""38:27-38:30"", ""2Bc"": ""39:21-39:23"", ""3Aa"": ""40:1-40:23"", ""3Ba"": ""41:14-41:37"", ""3Ab"": ""41:1-41:13"", ""3Bb"": ""41:38-41:45""}"
18,Genesis,18,Joseph's Administration,Genesis 41:46-47:26,41:46-47:26,6x3,False,False,18,,"{""1A"": ""41:57-42:17"", ""1B"": ""42:18-42:24"", ""1C"": ""42:25-42:28"", ""3Aa"": ""42:29-42:38"", ""3Ba"": ""43:16-43:25"", ""3Ca"": ""44:1-44:13"", ""3Ab"": ""43:1-43:15"", ""3Bb"": ""43:26-43:34"", ""3Cb"": ""44:14-44:17"", ""4A"": ""44:18-44:34"", ""4B"": ""45:1-45:15"", ""4C"": ""45:16-45:28"", ""5Aa"": ""46:1-46:7"", ""5Ba"": ""46:28-46:30"", ""5Ca"": ""47:1-47:6"", ""5Ab"": ""46:8-46:27"", ""5Bb"": ""46:31-46:34"", ""5Cb"": ""47:7-47:12"", ""6A"": ""47:13-47:17"", ""6B"": ""47:18-47:22"", ""6C"": ""47:23-47:26""}"
19,Genesis,19,Blessings and Deaths,Genesis 47:27-50:26,47:27-50:26,2x3,False,False,6,,"{""1Aa"": ""47:27-47:28"", ""1Ba"": ""48:1-48:7"", ""1Ca"": ""49:1-49:28"", ""2A"": ""50:1-50:13"", ""2B"": ""50:14-50:21"", ""2C"": ""50:22-50:26""}"
20,Exodus,1,Oppression and Call of Moses,Exodus 1:1-4:18,1:1-4:18,3x2,False,False,6,,"{""1Aa"": ""3:6-3:12"", ""1Ba"": ""4:1-4:9"", ""1Ab"": ""3:13-3:15"", ""1Bb"": ""4:10-4:12"", ""1Ac"": ""3:16-3:21"", ""1Bc"": ""4:13-4:17"", ""1A"": ""3:22"", ""1B"": ""4:18""}"
21,Exodus,2,Moses Before Pharaoh,Exodus 4:19-6:28,4:19-6:28,3x2,False,False,6,,"{""1Aa"": ""5:6-5:9"", ""1Ba"": ""5:14"", ""1Ab"": ""5:10-5:13"", ""1Bb"": ""5:15-5:19"", ""1Ac"": ""4:24-4:26"", ""1Bc"": ""5:1-5:5"", ""3Aa"": ""5:20-5:21"", ""3Ba"": ""6:10-6:12"", ""3Ab"": ""5:22-6:1"", ""3Bb"": ""6:13"", ""3Ac"": ""6:2-6:8"", ""3Bc"": ""6:14-6:25"", ""3A"": ""6:9"", ""3B"": ""6:26-6:27""}"
